"IPAddress","CloudName","Type"
"104.129.192.0/23","zscaler.net","required"
"104.129.194.0/23","zscaler.net","required"
"104.129.196.0/23","zscaler.net","required"
"104.129.202.0/23","zscaler.net","required"
"112.196.99.180/32","zscaler.net","required"
"136.226.118.0/23","zscaler.net","required"
"136.226.120.0/23","zscaler.net","required"
"136.226.142.0/23","zscaler.net","required"
"136.226.144.0/23","zscaler.net","required"
"136.226.146.0/23","zscaler.net","required"
"136.226.148.0/23","zscaler.net","required"
"136.226.150.0/23","zscaler.net","required"
"136.226.152.0/23","zscaler.net","required"
"136.226.156.0/23","zscaler.net","required"
"136.226.156.0/24","zscaler.net","required"
"136.226.157.0/24","zscaler.net","required"
"136.226.158.0/23","zscaler.net","required"
"136.226.158.0/24","zscaler.net","required"
"136.226.159.0/24","zscaler.net","required"
"136.226.160.0/23","zscaler.net","required"
"136.226.160.0/24","zscaler.net","required"
"136.226.161.0/24","zscaler.net","required"
"136.226.174.0/23","zscaler.net","required"
"136.226.176.0/23","zscaler.net","required"
"136.226.178.0/23","zscaler.net","required"
"136.226.180.0/23","zscaler.net","required"
"136.226.182.0/23","zscaler.net","required"
"136.226.184.0/23","zscaler.net","required"
"136.226.194.0/23","zscaler.net","required"
"136.226.196.0/23","zscaler.net","required"
"136.226.94.0/23","zscaler.net","required"
"147.161.200.0/23","zscaler.net","required"
"147.161.204.0/23","zscaler.net","required"
"147.161.208.0/23","zscaler.net","required"
"147.161.220.0/23","zscaler.net","required"
"147.161.238.0/23","zscaler.net","required"
"147.161.252.0/23","zscaler.net","required"
"165.225.0.0/23","zscaler.net","required"
"165.225.118.0/24","zscaler.net","required"
"165.225.18.0/24","zscaler.net","required"
"165.225.24.0/23","zscaler.net","required"
"165.225.240.0/23","zscaler.net","required"
"165.225.242.0/23","zscaler.net","required"
"165.225.244.0/23","zscaler.net","required"
"165.225.246.0/23","zscaler.net","required"
"165.225.28.0/23","zscaler.net","required"
"165.225.4.0/24","zscaler.net","required"
"165.225.44.0/24","zscaler.net","required"
"165.225.48.0/24","zscaler.net","required"
"165.225.6.0/23","zscaler.net","required"
"165.225.72.0/22","zscaler.net","required"
"167.103.108.0/23","zscaler.net","required"
"167.103.112.0/23","zscaler.net","required"
"167.103.114.0/23","zscaler.net","required"
"167.103.124.0/23","zscaler.net","required"
"167.103.142.0/23","zscaler.net","required"
"167.103.144.0/23","zscaler.net","required"
"167.103.30.0/23","zscaler.net","required"
"167.103.32.0/23","zscaler.net","required"
"167.103.34.0/23","zscaler.net","required"
"167.103.48.0/24","zscaler.net","required"
"167.103.49.0/24","zscaler.net","required"
"167.103.95.0/24","zscaler.net","required"
"170.85.116.0/23","zscaler.net","required"
"170.85.118.0/23","zscaler.net","required"
"170.85.122.0/23","zscaler.net","required"
"170.85.124.0/23","zscaler.net","required"
"170.85.126.0/23","zscaler.net","required"
"170.85.140.0/23","zscaler.net","required"
"170.85.184.0/23","zscaler.net","required"
"170.85.186.0/23","zscaler.net","required"
"170.85.32.0/23","zscaler.net","required"
"170.85.34.0/23","zscaler.net","required"
"185.46.212.0/22","zscaler.net","required"
"199.168.148.0/24","zscaler.net","required"
"213.152.228.0/24","zscaler.net","required"
"216.218.133.192/26","zscaler.net","required"
"216.52.207.64/26","zscaler.net","required"
"2400:7aa0:1815::/48","zscaler.net","required"
"2400:7aa0:1b11::/48","zscaler.net","required"
"2400:7aa0:1b19::/48","zscaler.net","required"
"2400:7aa0:1c11::/48","zscaler.net","required"
"2400:7aa0:1c12::/48","zscaler.net","required"
"2400:7aa0:1c16::/48","zscaler.net","required"
"2400:7aa0:1c17::/48","zscaler.net","required"
"2400:7aa0:1e11::/48","zscaler.net","required"
"2605:4300:1211::/48","zscaler.net","required"
"2605:4300:1212::/48","zscaler.net","required"
"2605:4300:1214::/48","zscaler.net","required"
"2605:4300:1216::/48","zscaler.net","required"
"2605:4300:1311::/48","zscaler.net","required"
"2605:4300:1312::/48","zscaler.net","required"
"2605:4300:1315::/48","zscaler.net","required"
"2605:4300:131b::/48","zscaler.net","required"
"2605:4300:131c::/48","zscaler.net","required"
"2605:4300:1411::/48","zscaler.net","required"
"2605:4300:1412::/48","zscaler.net","required"
"2605:4300:1413::/48","zscaler.net","required"
"2605:4300:1414::/48","zscaler.net","required"
"2605:4300:1418::/48","zscaler.net","required"
"2605:4300:1420::/48","zscaler.net","required"
"2605:4300:1421::/48","zscaler.net","required"
"2a03:eec0:1211::/48","zscaler.net","required"
"2a03:eec0:1212::/48","zscaler.net","required"
"2a03:eec0:1216::/48","zscaler.net","required"
"2a03:eec0:1311::/48","zscaler.net","required"
"2a03:eec0:1312::/48","zscaler.net","required"
"2a03:eec0:1317::/48","zscaler.net","required"
"2a03:eec0:1411::/48","zscaler.net","required"
"2a03:eec0:1414::/48","zscaler.net","required"
"2a03:eec0:1415::/48","zscaler.net","required"
"2a03:eec0:3217::/48","zscaler.net","required"
"64.74.126.64/26","zscaler.net","required"
"70.39.159.0/24","zscaler.net","required"
"72.52.96.0/26","zscaler.net","required"
"8.25.203.0/24","zscaler.net","required"
"89.167.131.0/24","zscaler.net","required"
